trial_number,metric,status,duration_sec,params,timestamp
6,nan,pruned,0.00,"{""fusion_method"": ""rrf"", ""rrf_k"": 60, ""score_normalization"": ""none"", ""top_k_final"": 20, ""top_k_retriever"": 16, ""use_multiv"": false, ""use_sparse"": true, ""w_dense"": 1.0, ""w_multiv"": 0.0, ""w_sparse"": 0.0}",2026-01-07T11:34:53.448906Z
7,nan,pruned,0.30,"{""fusion_method"": ""rrf"", ""rrf_k"": 60, ""score_normalization"": ""minmax_per_query"", ""top_k_final"": 5, ""top_k_retriever"": 64, ""use_multiv"": false, ""use_sparse"": false, ""w_dense"": 1.0, ""w_multiv"": 0.0, ""w_sparse"": 0.0}",2026-01-07T11:34:54.761193Z
8,0.672783,complete,3.04,"{""fusion_method"": ""weighted_sum"", ""rrf_k"": 60, ""score_normalization"": ""zscore_per_query"", ""top_k_final"": 5, ""top_k_retriever"": 8, ""use_multiv"": true, ""use_sparse"": false, ""w_dense"": 0.8456715151090032, ""w_multiv"": 0.14150310251315235, ""w_sparse"": 0.012825382377844476}",2026-01-07T11:34:59.452339Z
9,nan,pruned,0.27,"{""fusion_method"": ""weighted_sum"", ""rrf_k"": 60, ""score_normalization"": ""none"", ""top_k_final"": 20, ""top_k_retriever"": 128, ""use_multiv"": false, ""use_sparse"": true, ""w_dense"": 0.3272544192130715, ""w_multiv"": 0.26062453350747633, ""w_sparse"": 0.4121210472794522}",2026-01-07T11:35:01.319426Z
10,nan,pruned,0.35,"{""fusion_method"": ""rrf"", ""rrf_k"": 60, ""score_normalization"": ""zscore_per_query"", ""top_k_final"": 10, ""top_k_retriever"": 48, ""use_multiv"": true, ""use_sparse"": false, ""w_dense"": 1.0, ""w_multiv"": 0.0, ""w_sparse"": 0.0}",2026-01-07T11:35:02.835917Z
11,0.674474,complete,1.85,"{""fusion_method"": ""weighted_sum"", ""rrf_k"": 60, ""score_normalization"": ""zscore_per_query"", ""top_k_final"": 5, ""top_k_retriever"": 96, ""use_multiv"": true, ""use_sparse"": false, ""w_dense"": 0.9167217204568392, ""w_multiv"": 0.031221956989512117, ""w_sparse"": 0.052056322553648664}",2026-01-07T11:35:20.967279Z
12,0.673851,complete,3.15,"{""fusion_method"": ""weighted_sum"", ""rrf_k"": 60, ""score_normalization"": ""zscore_per_query"", ""top_k_final"": 1, ""top_k_retriever"": 96, ""use_multiv"": true, ""use_sparse"": false, ""w_dense"": 0.9259512679648244, ""w_multiv"": 0.04208616398365476, ""w_sparse"": 0.03196256805152075}",2026-01-07T11:35:25.517386Z
13,nan,pruned,0.35,"{""fusion_method"": ""weighted_sum"", ""rrf_k"": 60, ""score_normalization"": ""zscore_per_query"", ""top_k_final"": 3, ""top_k_retriever"": 96, ""use_multiv"": true, ""use_sparse"": false, ""w_dense"": 0.005208265399015288, ""w_multiv"": 0.712558263430203, ""w_sparse"": 0.28223347117078174}",2026-01-07T11:35:27.350920Z
14,0.688933,complete,3.01,"{""fusion_method"": ""rrf"", ""rrf_k"": 60, ""score_normalization"": ""zscore_per_query"", ""top_k_final"": 5, ""top_k_retriever"": 64, ""use_multiv"": true, ""use_sparse"": false, ""w_dense"": 1.0, ""w_multiv"": 0.0, ""w_sparse"": 0.0}",2026-01-07T11:35:31.610801Z
15,nan,pruned,0.37,"{""fusion_method"": ""rrf"", ""rrf_k"": 60, ""score_normalization"": ""zscore_per_query"", ""top_k_final"": 10, ""top_k_retriever"": 64, ""use_multiv"": true, ""use_sparse"": false, ""w_dense"": 1.0, ""w_multiv"": 0.0, ""w_sparse"": 0.0}",2026-01-07T11:35:33.216982Z
16,nan,pruned,0.50,"{""fusion_method"": ""rrf"", ""rrf_k"": 60, ""score_normalization"": ""zscore_per_query"", ""top_k_final"": 5, ""top_k_retriever"": 24, ""use_multiv"": true, ""use_sparse"": false, ""w_dense"": 1.0, ""w_multiv"": 0.0, ""w_sparse"": 0.0}",2026-01-07T11:35:34.933787Z
17,nan,pruned,7.05,"{""fusion_method"": ""rrf"", ""rrf_k"": 60, ""score_normalization"": ""zscore_per_query"", ""top_k_final"": 10, ""top_k_retriever"": 64, ""use_multiv"": true, ""use_sparse"": true, ""w_dense"": 1.0, ""w_multiv"": 0.0, ""w_sparse"": 0.0}",2026-01-07T11:35:59.847392Z
18,nan,pruned,2.08,"{""fusion_method"": ""rrf"", ""rrf_k"": 60, ""score_normalization"": ""zscore_per_query"", ""top_k_final"": 3, ""top_k_retriever"": 64, ""use_multiv"": true, ""use_sparse"": true, ""w_dense"": 1.0, ""w_multiv"": 0.0, ""w_sparse"": 0.0}",2026-01-07T11:36:05.393832Z
19,nan,pruned,0.25,"{""fusion_method"": ""rrf"", ""rrf_k"": 60, ""score_normalization"": ""none"", ""top_k_final"": 1, ""top_k_retriever"": 64, ""use_multiv"": true, ""use_sparse"": false, ""w_dense"": 1.0, ""w_multiv"": 0.0, ""w_sparse"": 0.0}",2026-01-07T11:36:06.563184Z
20,nan,pruned,0.32,"{""fusion_method"": ""rrf"", ""rrf_k"": 60, ""score_normalization"": ""zscore_per_query"", ""top_k_final"": 20, ""top_k_retriever"": 128, ""use_multiv"": true, ""use_sparse"": true, ""w_dense"": 1.0, ""w_multiv"": 0.0, ""w_sparse"": 0.0}",2026-01-07T11:36:07.949537Z
21,nan,pruned,0.31,"{""fusion_method"": ""weighted_sum"", ""rrf_k"": 60, ""score_normalization"": ""zscore_per_query"", ""top_k_final"": 5, ""top_k_retriever"": 96, ""use_multiv"": true, ""use_sparse"": false, ""w_dense"": 0.5554771442515264, ""w_multiv"": 0.1414483382636418, ""w_sparse"": 0.3030745174848318}",2026-01-07T11:36:10.288968Z
22,0.693037,complete,2.68,"{""fusion_method"": ""weighted_sum"", ""rrf_k"": 60, ""score_normalization"": ""zscore_per_query"", ""top_k_final"": 5, ""top_k_retriever"": 24, ""use_multiv"": true, ""use_sparse"": false, ""w_dense"": 0.22335243389354326, ""w_multiv"": 0.620615283833643, ""w_sparse"": 0.1560322822728138}",2026-01-07T11:36:14.420886Z
23,nan,pruned,0.44,"{""fusion_method"": ""weighted_sum"", ""rrf_k"": 60, ""score_normalization"": ""zscore_per_query"", ""top_k_final"": 5, ""top_k_retriever"": 24, ""use_multiv"": true, ""use_sparse"": false, ""w_dense"": 0.21251248256102834, ""w_multiv"": 0.6041680644630618, ""w_sparse"": 0.1833194529759098}",2026-01-07T11:36:16.655769Z
24,nan,pruned,0.26,"{""fusion_method"": ""rrf"", ""rrf_k"": 60, ""score_normalization"": ""zscore_per_query"", ""top_k_final"": 5, ""top_k_retriever"": 24, ""use_multiv"": true, ""use_sparse"": false, ""w_dense"": 1.0, ""w_multiv"": 0.0, ""w_sparse"": 0.0}",2026-01-07T11:36:17.851563Z
